# iteration rmse_test rmse_train
100 0.1713234 0.17060887
1000 0.16574635 0.1667371
2000 0.16395352 0.16436775
3000 0.15325721 0.15411717
4000 0.17493281 0.1755091
5000 0.14920712 0.14872953
6000 0.12975328 0.12941115
7000 0.13077951 0.13123345
8000 0.14124848 0.14214354
9000 0.12765683 0.12738124
10000 0.12626496 0.12662342
11000 0.12302785 0.12223403
12000 0.12138668 0.12088634
13000 0.1205891 0.12072705
14000 0.12329034 0.12375213
15000 0.11695434 0.11704491
16000 0.11459227 0.11500392
17000 0.11919766 0.11860513
18000 0.1126675 0.11286382
19000 0.11324586 0.11297142
20000 0.11136182 0.11085134
21000 0.1095315 0.10884262
22000 0.10932442 0.1082797
23000 0.1098578 0.10866709
24000 0.10931339 0.10857716
25000 0.1078273 0.1067475
26000 0.11188172 0.11025997
27000 0.10564691 0.10423821
28000 0.1059126 0.10421694
29000 0.10543776 0.10409341
30000 0.10558719 0.10370336
31000 0.10415327 0.10218194
32000 0.1026566 0.10079117
33000 0.102738 0.10064482
34000 0.10260718 0.10088301
35000 0.1141008 0.11334661
36000 0.10140935 0.099120945
37000 0.09987741 0.097616124
38000 0.10067168 0.098345059
39000 0.1010948 0.098808611
40000 0.098397105 0.096062951
41000 0.10139679 0.098847985
42000 0.098671576 0.095541737
43000 0.098983287 0.096508814
44000 0.098187027 0.094943864
45000 0.099086757 0.095704396
46000 0.098165206 0.094633903
47000 0.096566912 0.093177063
48000 0.25576823 0.25672875
49000 0.25576814 0.25672767
50000 0.24503385 0.24523554
