# iteration rmse_test rmse_train
100 0.1798117 0.18177616
1000 0.2057557 0.20634624
2000 0.14763655 0.14826825
3000 0.15918258 0.15883883
4000 0.13284842 0.1327783
5000 0.12299521 0.12318739
6000 0.12220582 0.12314603
7000 0.11487516 0.11520681
8000 0.11087027 0.11149022
9000 0.11047927 0.11056057
10000 0.10715464 0.1073022
11000 0.10460319 0.10496449
12000 0.10966873 0.10997806
13000 0.10340297 0.10327536
14000 0.10219705 0.10176539
15000 0.10417828 0.10427601
16000 0.10014003 0.099966305
17000 0.099918699 0.099549923
18000 0.098321253 0.09813872
19000 0.097621563 0.096261177
20000 0.095869101 0.094132366
21000 0.098868866 0.097079951
22000 0.096521142 0.095844852
23000 0.096935318 0.095687357
24000 0.092799757 0.090705619
25000 0.097085704 0.095427591
26000 0.092787484 0.090926557
27000 0.093261541 0.090765647
28000 0.092662918 0.090169403
29000 0.092697218 0.089989076
30000 0.10166478 0.10053683
31000 0.096344508 0.094392316
32000 0.091218333 0.087757694
33000 0.092156749 0.088469613
34000 0.093283991 0.088746127
35000 0.093143728 0.089382261
36000 0.092631119 0.088360075
37000 0.092270945 0.088041742
38000 0.092411376 0.087843927
39000 0.091483219 0.085804248
40000 0.090892277 0.085529663
41000 0.091375979 0.086266512
42000 0.090720824 0.085387955
43000 0.094376723 0.088516432
44000 0.089963965 0.083970839
45000 0.090571738 0.084091282
46000 0.090077105 0.084064139
47000 0.090438725 0.083978299
48000 0.090304289 0.082678991
49000 0.090699206 0.083360291
50000 0.09028355 0.082397923
