# iteration rmse_test rmse_train
100 0.2319489 0.23158102
1000 0.16817242 0.16550274
2000 0.16388534 0.16215014
3000 0.16451863 0.16256618
4000 0.16413904 0.16236129
5000 0.16376972 0.16216463
6000 0.16385351 0.16224945
7000 0.16386789 0.16212436
8000 0.1639866 0.16216821
9000 0.16439417 0.16310881
10000 0.16396417 0.16230093
11000 0.16426454 0.16234695
12000 0.16391207 0.16226353
13000 0.16424746 0.16234462
14000 0.16395256 0.16255723
15000 0.1639698 0.16215032
16000 0.16379343 0.16214473
17000 0.16389698 0.16235451
18000 0.16391515 0.16215887
19000 0.1638143 0.16219661
20000 0.1637489 0.16222685
21000 0.16386581 0.16230691
22000 0.16388945 0.16218647
23000 0.16434555 0.16293584
24000 0.16388856 0.16233403
25000 0.16377385 0.16230652
26000 0.16381298 0.16224086
27000 0.16427662 0.16234369
28000 0.1641582 0.16281009
29000 0.16534712 0.16310369
30000 0.16382416 0.16230475
31000 0.16404602 0.16252375
32000 0.16439978 0.16233344
33000 0.16387476 0.16218962
34000 0.16391327 0.16218225
35000 0.1639765 0.16237755
36000 0.16380441 0.1623395
37000 0.16378374 0.1622688
38000 0.16376355 0.16215357
39000 0.16379332 0.16213089
40000 0.16386834 0.16225639
41000 0.16401974 0.16213752
42000 0.16403158 0.16215743
43000 0.16383478 0.16219462
44000 0.1638389 0.16218683
45000 0.16450543 0.16257154
46000 0.16415378 0.16224553
47000 0.16407046 0.16219522
48000 0.16399944 0.16261757
49000 0.16379874 0.16214117
50000 0.16375119 0.16219332
