# iteration rmse_test rmse_train
200 0.16370972 0.16189542
1000 0.18368782 0.18271095
2000 0.14927648 0.14857443
3000 0.14565142 0.14374885
4000 0.14151281 0.14053502
5000 0.1401851 0.13950795
6000 0.14010668 0.13820132
7000 0.13994892 0.13771658
8000 0.13604824 0.13395262
9000 0.13863391 0.13665056
10000 0.13244436 0.13037646
11000 0.13210856 0.1317803
12000 0.15062699 0.15084072
13000 0.13313787 0.13116759
14000 0.13225553 0.13023185
15000 0.12613557 0.12496083
16000 0.12522469 0.12389147
17000 0.12496271 0.12346987
18000 0.1259755 0.12490066
19000 0.1253934 0.12280436
20000 0.11966273 0.11754844
21000 0.12040386 0.11784136
22000 0.12287357 0.11960839
23000 0.12303988 0.1214434
24000 0.12239986 0.12078056
25000 0.11894557 0.11708786
26000 0.11768172 0.11481725
27000 0.12294956 0.12097994
28000 0.12151769 0.11977181
29000 0.12101916 0.11756009
30000 0.12292458 0.12056338
31000 0.11669808 0.11450241
32000 0.11977928 0.11713088
33000 0.11515104 0.11280882
34000 0.11598697 0.11379676
35000 0.11561063 0.11401629
36000 0.11566138 0.1132098
37000 0.11370951 0.11160018
38000 0.1138849 0.1118866
39000 0.11567648 0.1129414
40000 0.12628608 0.12342851
41000 0.12136157 0.11853485
42000 0.11703386 0.11499414
43000 0.11496283 0.11279496
44000 0.11760897 0.1154543
45000 0.1145373 0.1121871
46000 0.11289909 0.11088796
47000 0.11147323 0.11003478
48000 0.11171258 0.10965187
49000 0.13146215 0.1295046
50000 0.11807614 0.11651302
