# iteration rmse_test rmse_train
200 0.15849421 0.15670499
1000 0.21512868 0.21207856
2000 0.15961102 0.15689149
3000 0.15848161 0.15808896
4000 0.15600637 0.15471563
5000 0.15310135 0.15141396
6000 0.15148937 0.15026423
7000 0.15020398 0.14846811
8000 0.13903151 0.13699261
9000 0.13805997 0.13588694
10000 0.13220575 0.13102605
11000 0.13487123 0.13377539
12000 0.13093371 0.12931463
13000 0.1277092 0.12601368
14000 0.12488659 0.12346984
15000 0.12259886 0.12107452
16000 0.12209351 0.12125873
17000 0.12151446 0.11938109
18000 0.11620261 0.11557857
19000 0.11394425 0.11328751
20000 0.11509502 0.11490294
21000 0.11166608 0.10988619
22000 0.10930236 0.10909259
23000 0.10951018 0.10804514
24000 0.10896823 0.10740199
25000 0.10917089 0.107869
26000 0.10884431 0.10809765
27000 0.10701318 0.10602069
28000 0.10878253 0.10783404
29000 0.10660368 0.10653887
30000 0.1061541 0.10468404
31000 0.10906083 0.10718448
32000 0.10370446 0.10302051
33000 0.10687247 0.10693641
34000 0.10887687 0.10749684
35000 0.10284053 0.10157894
36000 0.10121108 0.10030399
37000 0.10292597 0.10055476
38000 0.10499552 0.1026028
39000 0.10561143 0.10432299
40000 0.10255214 0.10076257
41000 0.10025234 0.098372345
42000 0.10359781 0.10203823
43000 0.10204571 0.10011698
44000 0.1019731 0.10021964
45000 0.10000534 0.098450253
46000 0.10267345 0.10024602
47000 0.09792508 0.096137638
48000 0.10067826 0.099782676
49000 0.10282599 0.1004409
50000 0.10058317 0.097831898
