# iteration rmse_test rmse_train
200 0.18944376 0.18814092
1000 0.17054809 0.17009537
2000 0.15257276 0.15150911
3000 0.14994786 0.14877742
4000 0.1475649 0.14691176
5000 0.15381827 0.15344694
6000 0.14618668 0.14556858
7000 0.1452127 0.14435597
8000 0.14998306 0.14851968
9000 0.14471488 0.14350572
10000 0.14983275 0.1487413
11000 0.14354274 0.14246711
12000 0.14333113 0.14215056
13000 0.14104677 0.13985133
14000 0.14723742 0.14529686
15000 0.13995379 0.13873207
16000 0.14155204 0.14036364
17000 0.13956447 0.13883698
18000 0.15814205 0.15604637
19000 0.14155121 0.1406953
20000 0.13885532 0.13837053
21000 0.14230088 0.14082339
22000 0.3205539 0.32194453
23000 0.3205539 0.32194453
24000 0.32055391 0.32194453
25000 0.3205539 0.32194453
26000 0.28475638 0.2807933
27000 0.28475638 0.2807933
28000 0.28475638 0.2807933
29000 0.28475638 0.2807933
30000 0.28475638 0.2807933
31000 0.28475638 0.2807933
32000 0.28475638 0.2807933
33000 0.28475638 0.2807933
34000 0.28475638 0.2807933
35000 0.28475638 0.2807933
36000 0.28475638 0.2807933
37000 0.28475638 0.2807933
38000 0.28475638 0.2807933
39000 0.28475638 0.2807933
40000 0.28475638 0.2807933
41000 0.28475638 0.2807933
42000 0.28475638 0.2807933
43000 0.28475638 0.2807933
44000 0.28475638 0.2807933
45000 0.28475638 0.2807933
46000 0.28475638 0.2807933
47000 0.28475638 0.2807933
48000 0.28475638 0.2807933
49000 0.28475638 0.2807933
50000 0.28475638 0.2807933
