# iteration rmse_test rmse_train
200 0.16951172 0.16924872
1000 0.15757501 0.15641887
2000 0.15679381 0.15540066
3000 0.15926955 0.15775668
4000 0.15228436 0.1510651
5000 0.14567076 0.14536293
6000 0.14341072 0.14339253
7000 0.1397189 0.13949273
8000 0.13712031 0.13618637
9000 0.13718128 0.13715562
10000 0.1351712 0.13349899
11000 0.13033664 0.12950555
12000 0.1274083 0.12679517
13000 0.1245134 0.1230324
14000 0.12470151 0.12385173
15000 0.1210325 0.11897188
16000 0.12120031 0.11932515
17000 0.12071309 0.11766281
18000 0.12050589 0.11809339
19000 0.11679366 0.11383099
20000 0.11979465 0.11519288
21000 0.16116237 0.15979247
22000 0.13675564 0.13455281
23000 0.1339545 0.12985124
24000 0.13077873 0.12732999
25000 0.1277537 0.12571527
26000 0.1238498 0.12250466
27000 0.12375947 0.12030025
28000 0.12380134 0.12020722
29000 0.11823859 0.11749937
30000 0.11558187 0.11379244
31000 0.11374435 0.1108799
32000 0.11311498 0.10977306
33000 0.11340349 0.10993959
34000 0.11527031 0.11108237
35000 0.11393095 0.11024756
36000 0.10939885 0.10665678
37000 0.10982654 0.10639977
38000 0.10853979 0.10560986
39000 0.11088496 0.10871009
40000 0.10785891 0.1043638
41000 0.1058668 0.10260183
42000 0.10787568 0.104722
43000 0.10690964 0.10337569
44000 0.1046039 0.10126394
45000 0.10531403 0.10251286
46000 0.10371334 0.10097564
47000 0.10452646 0.10175435
48000 0.10551918 0.10095248
49000 0.10540421 0.10203146
50000 0.10225462 0.098438928
