# iteration rmse_test rmse_train
200 0.15772326 0.15615187
1000 0.15259239 0.15162102
2000 0.13797026 0.13724065
3000 0.13433469 0.13363346
4000 0.13330449 0.13138597
5000 0.13051207 0.12914749
6000 0.12426234 0.12333189
7000 0.12307416 0.12284026
8000 0.12071057 0.11797801
9000 0.11120218 0.10937392
10000 0.10980838 0.10926634
11000 0.11152769 0.11049633
12000 0.10684022 0.10470252
13000 0.10787692 0.10813553
14000 0.10975787 0.10834044
15000 0.1124916 0.11270771
16000 0.10833308 0.10617826
17000 0.10591264 0.10232672
18000 0.10730635 0.10506051
19000 0.1012458 0.10029731
20000 0.10222512 0.09759748
21000 0.10205302 0.098647052
22000 0.10024706 0.097348495
23000 0.1025791 0.098958213
24000 0.10097909 0.096486173
25000 0.099119662 0.095238262
26000 0.1009412 0.095872521
27000 0.097610729 0.093024312
28000 0.096718191 0.09126888
29000 0.097379395 0.093373847
30000 0.096527848 0.091229535
31000 0.096307202 0.093104669
32000 0.095837965 0.09113147
33000 0.095352423 0.089381019
34000 0.094881459 0.088443592
35000 0.093967518 0.089411948
36000 0.092202261 0.086313228
37000 0.096344408 0.090963417
38000 0.092625074 0.086792604
39000 0.092830836 0.086584662
40000 0.092899351 0.086475715
41000 0.091794488 0.085456354
42000 0.091524115 0.084629003
43000 0.094347993 0.090376409
44000 0.091562387 0.084124805
45000 0.092168129 0.084127255
46000 0.091894246 0.085204756
47000 0.090579446 0.082331405
48000 0.092768106 0.083519992
49000 0.091379185 0.082095939
50000 0.091579179 0.08155802
