# iteration rmse_test rmse_train
1000 0.19169423 0.18794449
2000 0.18288792 0.18144369
3000 0.16128783 0.16059448
4000 0.15371174 0.15331284
5000 0.1493892 0.14804051
6000 0.14417318 0.14220242
7000 0.14409377 0.14150393
8000 0.13812322 0.13623882
9000 0.13962144 0.13684622
10000 0.13821021 0.13577186
11000 0.13604554 0.13404616
12000 0.1330577 0.13188335
13000 0.132791 0.13132021
14000 0.12829107 0.12729092
15000 0.12643815 0.126319
16000 0.12616346 0.12533677
17000 0.12403841 0.12374017
18000 0.12311396 0.12289703
19000 0.12265111 0.12199506
20000 0.12168047 0.12128489
21000 0.12125019 0.12126889
22000 0.12001777 0.11920018
23000 0.11896296 0.119038
24000 0.11784385 0.11708533
25000 0.11956465 0.11836785
26000 0.11944138 0.11825867
27000 0.11656271 0.1155896
28000 0.11521579 0.11475964
29000 0.11446829 0.1144743
30000 0.11371331 0.1132037
31000 0.11308174 0.1127727
32000 0.11397918 0.11326789
33000 0.11363694 0.11337265
34000 0.11411282 0.11337672
35000 0.11479199 0.1137447
36000 0.11150385 0.11109757
37000 0.11233195 0.11156697
38000 0.11084494 0.1098258
39000 0.11141576 0.11118628
40000 0.11015917 0.10926358
41000 0.10949242 0.10934416
42000 0.10910613 0.109514
43000 0.11022004 0.10982587
44000 0.10936725 0.10900277
45000 0.10814607 0.10797723
46000 0.10740384 0.10655743
47000 0.10862873 0.10790731
48000 0.10806849 0.10772413
49000 0.10902191 0.10771657
50000 0.10762737 0.10715769
