# iteration rmse_test rmse_train
200 0.16385596 0.16260761
1000 0.16685397 0.16430118
2000 0.16393867 0.16228569
3000 0.16397334 0.16246292
4000 0.16386209 0.16211925
5000 0.16398979 0.16220081
6000 0.16391116 0.16241195
7000 0.16385102 0.16232943
8000 0.16383312 0.16215993
9000 0.16380301 0.1622386
10000 0.16481279 0.16265774
11000 0.16381772 0.1623493
12000 0.16377454 0.16216898
13000 0.16396458 0.16216067
14000 0.37652476 0.37442857
15000 0.29114784 0.28958886
16000 0.29114784 0.28958886
17000 0.29114784 0.28958886
18000 0.29114784 0.28958886
19000 0.29114784 0.28958886
