# iteration rmse_test rmse_train
1000 0.16786492 0.16788914
2000 0.15431659 0.15286259
3000 0.1468947 0.14679265
4000 0.14386515 0.14396531
5000 0.14083033 0.14000794
6000 0.13937119 0.13928096
7000 0.13569871 0.13467179
8000 0.13500838 0.13420705
9000 0.13426127 0.13412947
10000 0.13444827 0.1333247
11000 0.13251561 0.13127449
12000 0.12832941 0.12726112
13000 0.12836618 0.12754271
14000 0.12361169 0.12219463
15000 0.12203792 0.12075139
16000 0.11535057 0.11427126
17000 0.11623994 0.11427279
18000 0.11299232 0.11241012
19000 0.11143787 0.11106168
20000 0.10921909 0.10845364
21000 0.10747402 0.10735426
22000 0.10688439 0.10608065
23000 0.10476415 0.10428675
24000 0.10394558 0.10365471
25000 0.10391921 0.10389426
26000 0.10224176 0.10190706
27000 0.10215323 0.10259427
28000 0.10358436 0.10321819
29000 0.10113719 0.10092252
30000 0.1034317 0.10200035
31000 0.10153474 0.10257011
32000 0.1000477 0.099879165
33000 0.10079422 0.10128012
34000 0.098931169 0.098267717
35000 0.09775172 0.097744313
36000 0.098514932 0.098476774
37000 0.097759065 0.096995808
38000 0.096603021 0.0968114
39000 0.096920923 0.096777873
40000 0.097236104 0.097484224
41000 0.099548027 0.098740901
42000 0.096095392 0.095909973
43000 0.095410343 0.095507969
44000 0.095525746 0.09447239
45000 0.095882875 0.095394839
46000 0.094168117 0.093212774
47000 0.09428377 0.093615783
48000 0.094936414 0.094288435
49000 0.095069752 0.094388509
50000 0.09457438 0.093962433
51000 0.093328243 0.092733808
52000 0.093328466 0.092877818
53000 0.093076482 0.09269565
54000 0.092532233 0.091625011
55000 0.093931232 0.092882291
56000 0.093281543 0.092409904
57000 0.09157763 0.090637297
58000 0.091680155 0.090780393
59000 0.092357208 0.091235181
60000 0.092410214 0.091576238
61000 0.092458076 0.091318733
62000 0.090622178 0.089348115
63000 0.091264122 0.090181056
64000 0.092516735 0.091009422
65000 0.091773551 0.090217638
66000 0.091440704 0.090463461
67000 0.093506539 0.092100161
68000 0.091055382 0.08962976
69000 0.092223066 0.090334119
70000 0.090297312 0.089371509
71000 0.092255393 0.091235043
72000 0.090094982 0.088721681
73000 0.090863624 0.089326888
74000 0.090923664 0.088980164
75000 0.090961235 0.090137683
76000 0.090889976 0.0888733
77000 0.090154802 0.087868379
78000 0.093611055 0.091321289
79000 0.089902433 0.088370529
80000 0.091457203 0.090176935
81000 0.091579708 0.090510473
82000 0.089203117 0.087655671
83000 0.090710284 0.089321807
84000 0.089761782 0.088283041
85000 0.090477308 0.088582978
86000 0.091771461 0.089625469
87000 0.090106004 0.088595742
88000 0.089807174 0.088295518
89000 0.090341636 0.088325077
90000 0.090114767 0.088608478
91000 0.089742193 0.087664824
92000 0.0899744 0.087997377
93000 0.090991285 0.089049786
94000 0.091453586 0.090439663
95000 0.089911226 0.087767468
96000 0.089504148 0.087395368
