# iteration rmse_test rmse_train
1000 0.27106116 0.2723028
2000 0.16721576 0.16781578
3000 0.15481154 0.15264696
4000 0.15037614 0.14960952
5000 0.15126427 0.15158191
6000 0.16475075 0.16352457
7000 0.14273964 0.14106484
8000 0.14008037 0.13851526
9000 0.14009712 0.13915983
10000 0.13649452 0.13463455
11000 0.13388778 0.13317611
12000 0.13381215 0.13269067
13000 0.13067473 0.13000745
14000 0.13603955 0.13438674
15000 0.13318126 0.13198389
16000 0.13359129 0.13239008
17000 0.13138051 0.1296991
18000 0.13559336 0.13452901
19000 0.12458198 0.12355333
20000 0.12017639 0.11907371
21000 0.12925774 0.12816945
22000 0.1181149 0.11725806
23000 0.12170197 0.12162886
24000 0.11574996 0.11499369
25000 0.11533306 0.11486357
26000 0.11585657 0.11513155
27000 0.11310301 0.11197052
28000 0.11241968 0.11210467
29000 0.11147061 0.11150291
30000 0.11165845 0.1109595
31000 0.11205778 0.11177922
32000 0.11004471 0.10941401
33000 0.10935293 0.10886856
34000 0.10816137 0.10745998
35000 0.117407 0.11718507
36000 0.10752795 0.10674818
37000 0.11077342 0.11004693
38000 0.10820915 0.10677721
39000 0.10994538 0.11018462
40000 0.10501607 0.10422606
41000 0.10575997 0.10542495
42000 0.10521663 0.10472329
43000 0.29062824 0.29042761
44000 0.29062824 0.2904276
45000 0.29062824 0.29042761
46000 0.29062824 0.29042761
47000 0.29062824 0.29042761
48000 0.29062824 0.2904276
49000 0.29062824 0.2904276
50000 0.29062824 0.2904276
51000 0.29062824 0.29042761
52000 0.29062824 0.2904276
53000 0.29062824 0.2904276
54000 0.29057228 0.29042761
55000 0.29062824 0.2904276
56000 0.29062824 0.2904276
57000 0.29062824 0.2904276
58000 0.29062824 0.2904276
59000 0.29062824 0.29042761
60000 0.29062824 0.2904276
61000 0.29062824 0.2904276
62000 0.29062824 0.2904276
63000 0.29062824 0.2904276
64000 0.29062823 0.2904276
65000 0.29062824 0.2904276
66000 0.29062824 0.2904276
67000 0.29062824 0.2904276
68000 0.29062824 0.2904276
69000 0.29062824 0.2904276
70000 0.29062824 0.2904276
71000 0.29062824 0.2904276
72000 0.29062824 0.2904276
73000 0.29062824 0.2904276
74000 0.29062824 0.2904276
75000 0.29062824 0.2904276
76000 0.29062824 0.29042761
77000 0.29062824 0.2904276
78000 0.29062824 0.29042761
79000 0.29062824 0.29042761
80000 0.29062824 0.2904276
81000 0.29062824 0.2904276
82000 0.29062824 0.29042761
83000 0.29062824 0.29042761
84000 0.29062824 0.29042761
85000 0.29062824 0.29042761
86000 0.29062824 0.2904276
87000 0.29062824 0.29042761
88000 0.29062824 0.2904276
89000 0.29062824 0.2904276
90000 0.29062824 0.29042761
91000 0.29062824 0.2904276
92000 0.29062824 0.2904276
93000 0.29062824 0.2904276
94000 0.29062824 0.2904276
95000 0.29062824 0.29042761
96000 0.29062824 0.2904276
97000 0.29062824 0.2904276
98000 0.29062824 0.2904276
99000 0.29062824 0.2904276
100000 0.29062824 0.29042761
101000 0.29062824 0.2904276
102000 0.29062823 0.2904276
103000 0.29062824 0.29042761
104000 0.29062824 0.2904276
105000 0.29062824 0.29042761
106000 0.29062824 0.2904276
107000 0.29062824 0.2904276
108000 0.29062824 0.2904276
109000 0.29062824 0.29042761
110000 0.29062824 0.2904276
111000 0.29062824 0.2904276
112000 0.29062824 0.2904276
113000 0.29062824 0.29042761
114000 0.29062824 0.2904276
115000 0.29062824 0.2904276
116000 0.29062824 0.2904276
117000 0.29062824 0.29042761
118000 0.29062824 0.2904276
119000 0.29062824 0.2904276
120000 0.29062824 0.2904276
121000 0.29062824 0.29042761
122000 0.29062824 0.29042761
123000 0.29062824 0.2904276
124000 0.29062823 0.29042761
125000 0.29062824 0.2904276
126000 0.29062824 0.2904276
127000 0.29062824 0.2904276
128000 0.29062824 0.29042761
129000 0.29062824 0.2904276
130000 0.29062824 0.2904276
131000 0.29062824 0.2904276
132000 0.29062824 0.2904276
133000 0.29062824 0.2904276
134000 0.29062824 0.2904276
135000 0.29062824 0.29042761
136000 0.29062824 0.2904276
137000 0.29062824 0.29042761
138000 0.29062824 0.2904276
139000 0.29062824 0.29042761
140000 0.29062824 0.2904276
141000 0.29062824 0.29042761
142000 0.29062824 0.2904276
143000 0.29062824 0.29042761
144000 0.29062824 0.2904276
145000 0.29062824 0.29042761
146000 0.29062824 0.2904276
147000 0.29062824 0.2904276
148000 0.29062824 0.2904276
149000 0.29062824 0.2904276
150000 0.29062824 0.29042761
151000 0.29062824 0.2904276
152000 0.29062824 0.2904276
153000 0.29062824 0.2904276
154000 0.29062824 0.2904276
155000 0.29062824 0.29042761
156000 0.29062824 0.2904276
157000 0.29062824 0.2904276
158000 0.29062824 0.2904276
159000 0.29062824 0.2904276
160000 0.29062824 0.2904276
161000 0.29062824 0.2904276
162000 0.29062824 0.2904276
163000 0.29062824 0.29042761
164000 0.29062824 0.2904276
165000 0.29062824 0.2904276
166000 0.29062824 0.29042761
167000 0.29062824 0.2904276
168000 0.29062824 0.2904276
169000 0.29062824 0.2904276
170000 0.29062824 0.2904276
171000 0.29062824 0.29042761
172000 0.29062824 0.2904276
173000 0.29062824 0.2904276
