# iteration rmse_test rmse_train
1000 0.15295998 0.15262572
2000 0.14461232 0.14247969
3000 0.13738474 0.13588177
4000 0.13086283 0.12987465
5000 0.13130465 0.13092123
6000 0.12650494 0.12597873
7000 0.12479679 0.12416349
8000 0.12350879 0.12230175
9000 0.12143749 0.12073443
10000 0.12300178 0.12233829
11000 0.11990563 0.11964496
12000 0.11841244 0.11744305
13000 0.11651143 0.11632696
14000 0.1144366 0.11394531
15000 0.11491608 0.11399829
16000 0.11754599 0.11653367
17000 0.1097141 0.10920704
18000 0.11220011 0.11219764
19000 0.10847853 0.10812338
20000 0.10836178 0.10825417
21000 0.10986187 0.10907198
22000 0.10748214 0.10802064
23000 0.10470713 0.10428135
24000 0.1044143 0.10405686
25000 0.10361944 0.10325145
26000 0.10380464 0.10377305
27000 0.10242672 0.10162046
28000 0.10339639 0.10289728
29000 0.10408843 0.10335428
30000 0.10232123 0.10157823
31000 0.099221377 0.098217568
32000 0.10017205 0.099209498
33000 0.096745341 0.095326991
34000 0.096484463 0.096747383
35000 0.096077537 0.095395157
36000 0.096711763 0.096282665
37000 0.09628562 0.095430632
38000 0.097101908 0.095887431
39000 0.096181054 0.094880077
40000 0.09633287 0.095756495
41000 0.096247538 0.095178533
