# iteration rmse_test rmse_train
1000 0.18343113 0.1867164
2000 0.16106818 0.16320936
3000 0.15781995 0.16009736
4000 0.15084336 0.15317577
5000 0.13876799 0.13914242
6000 0.13735871 0.13824741
7000 0.15073378 0.14929854
8000 0.13730467 0.13578436
9000 0.13648653 0.1355833
10000 0.13135532 0.13003266
11000 0.13053501 0.12947022
12000 0.129949 0.12836756
13000 0.13184153 0.12995538
14000 0.1294712 0.12752048
15000 0.12880768 0.12791114
16000 0.12889156 0.12677929
17000 0.12785221 0.12629303
18000 0.12573334 0.12444342
19000 0.12655551 0.12559641
20000 0.12668165 0.1251991
21000 0.12107608 0.11958083
22000 0.12200819 0.12044143
23000 0.11777944 0.11728322
24000 0.11647986 0.11680797
25000 0.11657053 0.11531033
26000 0.11246429 0.11202711
27000 0.10989597 0.10938461
28000 0.10978614 0.10846362
29000 0.110682 0.10938142
30000 0.10740919 0.10563471
31000 0.10597375 0.10516188
32000 0.10346095 0.10273765
33000 0.10277887 0.10146105
34000 0.10511222 0.10297289
35000 0.10243711 0.10097908
36000 0.10204205 0.10143926
37000 0.10246668 0.10066843
38000 0.09910736 0.098096428
39000 0.098942993 0.09734148
40000 0.098968982 0.097610257
41000 0.09962168 0.098406146
42000 0.099457545 0.097416857
43000 0.097629666 0.096041619
44000 0.098789463 0.096360933
45000 0.098380212 0.095435265
46000 0.097547627 0.095538568
47000 0.096673927 0.094210513
48000 0.097332263 0.094319278
49000 0.09731579 0.094605407
50000 0.096700112 0.094051859
51000 0.097210074 0.094201901
52000 0.09613467 0.092964649
53000 0.095158763 0.0919793
54000 0.09496753 0.091388497
55000 0.095197542 0.092006892
56000 0.096029818 0.091980086
57000 0.094871528 0.091414005
58000 0.11085218 0.10755911
59000 0.093638009 0.090080897
60000 0.095139133 0.091033752
61000 0.093713813 0.089666003
62000 0.09338295 0.089614846
63000 0.092972403 0.088313217
64000 0.093324617 0.088560189
65000 0.095522328 0.091948156
66000 0.093006365 0.088624962
67000 0.093413001 0.08832904
68000 0.091729353 0.086605751
69000 0.092619203 0.087989135
70000 0.093225939 0.087769713
71000 0.093197756 0.087097781
72000 0.091323393 0.085798011
73000 0.091446958 0.085327746
74000 0.0912728 0.0852704
75000 0.09182268 0.085848176
76000 0.092363329 0.086600052
77000 0.09187647 0.085406421
78000 0.090901054 0.084329678
79000 0.091897114 0.084396561
80000 0.091206426 0.083894784
