# iteration rmse_test rmse_train
1000 0.20461109 0.20474149
2000 0.15924582 0.1610326
3000 0.15540205 0.15635164
4000 0.15264301 0.15294497
5000 0.14315604 0.14329723
6000 0.13932674 0.14043706
7000 0.13614018 0.13656169
8000 0.13337711 0.13372486
9000 0.13474585 0.13444175
10000 0.132186 0.13123144
11000 0.1312911 0.13066182
12000 0.13161535 0.13006336
13000 0.13034118 0.12984626
14000 0.12810374 0.12687739
15000 0.1259544 0.12440968
16000 0.12668167 0.12430868
17000 0.12359019 0.12227188
18000 0.12265901 0.12097204
19000 0.12227512 0.12110058
20000 0.11993679 0.11838775
21000 0.11834625 0.11685558
22000 0.12069108 0.1187279
23000 0.11733196 0.11590277
24000 0.11566818 0.1151078
25000 0.11614261 0.11424321
26000 0.11353713 0.11161308
27000 0.11325627 0.1114433
28000 0.11074776 0.10901811
29000 0.11096196 0.10899789
30000 0.10875324 0.10728373
31000 0.10909509 0.10728067
32000 0.10870807 0.10583633
33000 0.10768785 0.10541808
34000 0.10679709 0.10454949
35000 0.10566112 0.10309066
36000 0.10765933 0.10503372
37000 0.10466742 0.10209841
38000 0.10358581 0.10083081
39000 0.10239455 0.1002581
40000 0.10252177 0.10001691
41000 0.10545373 0.10290708
42000 0.10118512 0.098731487
43000 0.10127142 0.098786421
44000 0.099342222 0.096152961
45000 0.099485418 0.097684939
46000 0.10014283 0.097673481
47000 0.10232268 0.098955783
48000 0.099418976 0.096203246
49000 0.099134034 0.095809763
50000 0.097927808 0.094899349
51000 0.097763314 0.094967754
52000 0.096639193 0.093350981
53000 0.097008883 0.093040748
54000 0.096742095 0.09417981
55000 0.097288266 0.094487107
56000 0.096698465 0.092955565
57000 0.095922602 0.091910171
58000 0.10255252 0.099078096
59000 0.095533895 0.091620685
60000 0.095724759 0.091886123
61000 0.094932412 0.090003269
62000 0.095456245 0.089737735
63000 0.096640722 0.090545597
64000 0.095475909 0.090862804
65000 0.09454958 0.089560136
66000 0.096858979 0.09216091
67000 0.094504676 0.088786604
68000 0.095780506 0.089735055
69000 0.093408158 0.087911161
70000 0.094364955 0.08853696
71000 0.094924741 0.089274092
72000 0.095289213 0.089235419
73000 0.093371134 0.086693892
74000 0.094133135 0.087642038
75000 0.094304022 0.08736313
76000 0.093574875 0.08598586
77000 0.094324242 0.085977848
78000 0.095070984 0.086671206
79000 0.095837511 0.086992508
80000 0.094609026 0.086802072
81000 0.093517341 0.084979155
82000 0.093744374 0.08462206
83000 0.093596476 0.084243577
84000 0.093183891 0.08511887
85000 0.098926152 0.090450154
86000 0.094173288 0.084060669
87000 0.093814166 0.084155936
88000 0.096348861 0.0862049
89000 0.093103033 0.082357244
90000 0.093317839 0.081573372
91000 0.09469788 0.083742597
92000 0.094110606 0.081865895
93000 0.093485796 0.081761475
94000 0.094278433 0.082489234
95000 0.093664044 0.08080386
96000 0.093510263 0.080671661
97000 0.095102282 0.082272185
98000 0.094998927 0.081656733
99000 0.094526483 0.081155123
100000 0.094316783 0.08067194
