# iteration rmse_test rmse_train
1000 0.18280708 0.18125254
2000 0.15783559 0.15573618
3000 0.14928841 0.14986453
4000 0.1490258 0.1495534
5000 0.17600627 0.17443587
6000 0.14739339 0.14581373
7000 0.15182175 0.15147712
8000 0.14663453 0.14620556
9000 0.14314973 0.14260025
10000 0.14176377 0.14139137
11000 0.14128387 0.1411415
12000 0.14072948 0.13987521
13000 0.13994144 0.13931544
14000 0.13740455 0.13717638
15000 0.13944683 0.13884131
16000 0.13784217 0.13687188
17000 0.13801492 0.13741281
18000 0.13737244 0.13637447
19000 0.13372844 0.13235806
20000 0.13649571 0.13627922
21000 0.27285251 0.27116405
