# iteration rmse_test rmse_train
1000 0.16729796 0.16835739
2000 0.16761124 0.16483401
3000 0.15598753 0.15503299
4000 0.1522077 0.15177024
5000 0.1544479 0.15303683
6000 0.15462947 0.15487101
7000 0.14675859 0.14620222
8000 0.14657321 0.14583996
9000 0.14580674 0.14533106
10000 0.14408541 0.14324939
11000 0.1413186 0.14051098
12000 0.13907765 0.13812014
13000 0.14131315 0.14026508
14000 0.13720374 0.13608776
15000 0.13617111 0.13542516
16000 0.13543084 0.13455041
17000 0.13703406 0.13616144
18000 0.13584382 0.13419163
19000 0.13729862 0.13626646
20000 0.135072 0.13385612
21000 0.13440832 0.13349861
22000 0.13436958 0.13290987
23000 0.13677507 0.13500201
24000 0.13222774 0.13077061
25000 0.13222168 0.13054063
26000 0.1342036 0.1328728
27000 0.1312335 0.12932218
28000 0.13001967 0.12810153
29000 0.12962025 0.1277101
30000 0.12855081 0.12556241
31000 0.12762127 0.12547477
32000 0.12639169 0.12441199
33000 0.29405386 0.29327711
34000 0.12791777 0.12553209
35000 0.12440209 0.12160546
36000 0.12363837 0.12154618
37000 0.12539595 0.12261174
38000 0.12246628 0.12114477
39000 0.12165531 0.11858955
40000 0.1201975 0.11787438
41000 0.1194756 0.11692453
42000 0.11829752 0.11623519
43000 0.11756719 0.11513871
44000 0.11766453 0.11545199
45000 0.11714597 0.11475364
46000 0.11650176 0.11392609
47000 0.11605912 0.1135637
48000 0.11596483 0.11416337
49000 0.11326832 0.11136549
50000 0.11710934 0.1143504
51000 0.11218302 0.10963417
52000 0.11171454 0.10942337
53000 0.11150365 0.10873077
54000 0.11113068 0.10868568
55000 0.11126138 0.10899358
56000 0.11097797 0.10846888
57000 0.11141411 0.10849097
58000 0.11065722 0.10823419
59000 0.1108323 0.10815671
60000 0.11048921 0.10801111
61000 0.11057501 0.10800779
62000 0.11045786 0.10769861
63000 0.11029227 0.10762176
64000 0.11022678 0.10741544
65000 0.11005642 0.10729847
66000 0.11031833 0.10749838
67000 0.10991603 0.10731468
68000 0.1098924 0.10757772
69000 0.10960705 0.10701706
70000 0.10967738 0.10703196
71000 0.10975427 0.10699307
72000 0.10953542 0.10710738
73000 0.10951341 0.10677756
74000 0.10912849 0.10677111
75000 0.10894191 0.10652436
76000 0.10900992 0.1067195
77000 0.10909351 0.10622324
78000 0.10901864 0.10662102
79000 0.10884743 0.10603596
80000 0.10910147 0.10672624
81000 0.1089122 0.10644301
82000 0.10896364 0.10640217
83000 0.10888488 0.1060168
84000 0.10850952 0.10589305
85000 0.10889596 0.10604214
86000 0.10848138 0.10585272
87000 0.10873776 0.10619467
88000 0.10833643 0.10562812
89000 0.10825361 0.10567314
90000 0.10826275 0.10549224
91000 0.10858043 0.10563711
92000 0.10800024 0.10526434
93000 0.10789586 0.10541466
94000 0.10791167 0.10538066
95000 0.10820229 0.10556041
96000 0.10783058 0.10521973
97000 0.1079258 0.10535789
98000 0.1075274 0.10496629
99000 0.10769512 0.10502916
100000 0.10794699 0.10475626
101000 0.10752301 0.10488677
102000 0.10753785 0.10475462
103000 0.10740555 0.10489082
104000 0.10733723 0.10450015
105000 0.10702697 0.10420893
106000 0.1072809 0.10458541
107000 0.10717616 0.10448285
108000 0.10722641 0.10423331
109000 0.10712734 0.10428458
110000 0.10705341 0.10394979
111000 0.10686912 0.10399882
112000 0.10715167 0.1040174
113000 0.10711293 0.1039681
114000 0.10676533 0.10394068
115000 0.10710271 0.1040101
116000 0.10697371 0.10391349
117000 0.10640352 0.10364512
118000 0.10669516 0.10370451
119000 0.10697401 0.10412474
120000 0.10664051 0.10355265
121000 0.10746947 0.10419885
122000 0.10642388 0.1034077
123000 0.10691716 0.10430969
124000 0.10688683 0.10359978
125000 0.1063968 0.1033276
126000 0.10660761 0.1036578
127000 0.10610285 0.10306848
128000 0.10620481 0.10316984
129000 0.10592812 0.10323248
130000 0.10581687 0.10295447
131000 0.10574061 0.1027785
132000 0.105781 0.10290352
133000 0.10596345 0.10310497
134000 0.1054114 0.10256312
135000 0.10586754 0.10264474
136000 0.10544521 0.10239083
137000 0.10580569 0.10273621
138000 0.10576936 0.10272438
139000 0.10566301 0.10247807
140000 0.10568903 0.10256839
141000 0.1053011 0.102327
142000 0.10578309 0.10324353
143000 0.10530407 0.10229751
144000 0.10493831 0.10191365
145000 0.10508143 0.10187983
146000 0.10493138 0.10213542
147000 0.10496797 0.10211464
148000 0.10442645 0.10169212
149000 0.105022 0.10229048
150000 0.10446207 0.10162135
