# iteration rmse_test rmse_train
1000 0.22574707 0.22228556
2000 0.15451489 0.15404908
3000 0.1539686 0.1518231
4000 0.15078469 0.14895618
5000 0.15098 0.14966043
6000 0.14775375 0.14655858
7000 0.14789171 0.14655047
8000 0.148024 0.14657126
9000 0.14797269 0.14646672
10000 0.14429368 0.14321837
11000 0.14427345 0.14286154
12000 0.14136236 0.14009941
13000 0.14182052 0.14096683
14000 0.14194343 0.14100396
15000 0.13990513 0.13855579
16000 0.13837943 0.13636245
17000 0.14225623 0.14113968
18000 0.13785219 0.13689422
19000 0.14101388 0.13915781
20000 0.1382395 0.13690929
21000 0.14008208 0.13835826
22000 0.13527652 0.13430034
23000 0.13639847 0.13543103
24000 0.13419331 0.13283527
25000 0.13351097 0.13233906
26000 0.13513308 0.13314876
27000 0.13288979 0.13133429
28000 0.1376382 0.13661169
29000 0.13351234 0.13185431
30000 0.13363741 0.13134551
31000 0.13241859 0.13011726
32000 0.13011846 0.12801696
33000 0.12900326 0.1267102
34000 0.13070398 0.12907979
35000 0.12998585 0.12835948
36000 0.12667662 0.12436339
37000 0.12622376 0.12411513
38000 0.1247252 0.12284982
39000 0.12681269 0.12514539
40000 0.12469414 0.12203958
41000 0.12384692 0.12188464
42000 0.12317571 0.11997287
43000 0.12332207 0.12080685
44000 0.12173868 0.11915901
45000 0.12732563 0.12554614
46000 0.12015831 0.1174641
47000 0.11839114 0.11655456
48000 0.11927205 0.11736783
49000 0.11880908 0.11640063
50000 0.11780246 0.11583276
51000 0.11656033 0.11438163
52000 0.1159495 0.11373774
53000 0.11574542 0.11347459
54000 0.11616367 0.11368469
55000 0.1157616 0.11341774
56000 0.11572171 0.11332137
57000 0.1152939 0.11296024
58000 0.11508095 0.11263912
59000 0.1146795 0.11264834
60000 0.11474672 0.11250474
61000 0.11510944 0.11238152
