# iteration rmse_test rmse_train
1000 0.17491776 0.17507535
2000 0.1699415 0.16964034
3000 0.16841608 0.16903249
4000 0.1683779 0.16780371
5000 0.15124684 0.15024601
6000 0.15018333 0.14902252
7000 0.1447698 0.14440612
8000 0.14140275 0.13989458
9000 0.13817481 0.13684989
10000 0.13466189 0.13363197
11000 0.13629067 0.13500369
12000 0.13773959 0.13735603
13000 0.13660319 0.13616144
14000 0.13270228 0.13177208
15000 0.12326667 0.12306218
16000 0.11634937 0.1163183
17000 0.11860777 0.11830551
18000 0.11431506 0.1139283
19000 0.12021467 0.12109981
20000 0.11332519 0.11230333
21000 0.1286001 0.12702863
22000 0.10918519 0.10818299
23000 0.10825457 0.10771297
24000 0.1062161 0.10569313
25000 0.10546039 0.10523874
26000 0.11019911 0.10886945
27000 0.10365469 0.10370206
28000 0.10651258 0.10682941
29000 0.10525176 0.10383403
30000 0.1009585 0.1010402
31000 0.10260679 0.10141037
32000 0.10352555 0.1036607
33000 0.10212586 0.10248506
34000 0.10665198 0.10639431
35000 0.10121888 0.1006246
36000 0.10211775 0.10166255
37000 0.1034208 0.10299624
38000 0.10344151 0.1033143
39000 0.10128424 0.10087487
40000 0.10178507 0.10075875
41000 0.10444323 0.10462607
42000 0.10235809 0.10181617
43000 0.10343737 0.1022327
44000 0.10253831 0.10172128
45000 0.10224203 0.10198138
46000 0.10194966 0.10123875
47000 0.10211415 0.10145046
48000 0.099114095 0.098305999
49000 0.10055217 0.099795235
50000 0.10142712 0.10079803
51000 0.099771334 0.098557045
52000 0.10236209 0.10149903
53000 0.1023728 0.10141291
54000 0.10171436 0.10054457
55000 0.10012845 0.09903645
56000 0.10061226 0.099618616
57000 0.099468057 0.097743492
58000 0.10000339 0.099077722
59000 0.10792184 0.10705526
60000 0.10026857 0.09916595
61000 0.10259804 0.10105009
62000 0.10257329 0.10076058
63000 0.10157208 0.10084143
64000 0.10158546 0.099998081
65000 0.10255007 0.10130658
66000 0.10048349 0.098877676
67000 0.10188464 0.10074388
68000 0.10280337 0.10162142
69000 0.099135709 0.097299889
70000 0.10373785 0.10222985
71000 0.10140821 0.10000042
72000 0.098940146 0.097093903
73000 0.10018639 0.09873496
74000 0.10506133 0.10292056
75000 0.10112334 0.099696154
76000 0.10041418 0.098688124
77000 0.1016795 0.10011671
78000 0.099450455 0.097514545
79000 0.09933826 0.096445929
80000 0.099030744 0.096528726
81000 0.10066781 0.098861412
82000 0.10001665 0.097803218
83000 0.10401118 0.10134053
84000 0.10154137 0.099506141
85000 0.10102801 0.098861679
86000 0.099294512 0.096636677
87000 0.10040431 0.097639979
88000 0.1047523 0.10310567
89000 0.099520071 0.096491181
90000 0.099912459 0.097102694
91000 0.1000893 0.097393759
92000 0.10389693 0.10183534
93000 0.099701509 0.096856022
94000 0.10212803 0.099573167
95000 0.10007869 0.09724846
96000 0.099400817 0.096547833
97000 0.10020462 0.096758701
98000 0.099590402 0.096701789
99000 0.10152083 0.099222697
100000 0.10059609 0.097983411
101000 0.099420472 0.096244497
102000 0.10285767 0.10049312
103000 0.09848176 0.095109573
104000 0.099629557 0.096322908
105000 0.10173137 0.098963641
106000 0.10088531 0.097679165
107000 0.10349593 0.10010485
108000 0.10246802 0.09908257
109000 0.10034442 0.096919437
110000 0.098386043 0.094534091
111000 0.10309698 0.10010027
112000 0.099540791 0.096358252
113000 0.098831799 0.094835947
114000 0.10142089 0.097493643
115000 0.10459851 0.10076072
116000 0.10086065 0.096236116
117000 0.10052039 0.095926705
118000 0.10116149 0.096523618
119000 0.10175324 0.097391504
120000 0.10286177 0.098445284
121000 0.098724888 0.09396797
122000 0.10244766 0.097203933
123000 0.1001533 0.095201093
124000 0.10065586 0.095688613
125000 0.100462 0.095048943
126000 0.10415388 0.099342926
127000 0.10491845 0.099256079
128000 0.099999433 0.094312514
129000 0.10225927 0.096174348
130000 0.10070716 0.093756191
131000 0.10213761 0.096233026
132000 0.10465424 0.099302064
133000 0.10270487 0.097521567
134000 0.10435197 0.098657846
135000 0.10109387 0.095137067
136000 0.10116402 0.094625314
137000 0.10329872 0.096937308
138000 0.10108085 0.094702158
139000 0.10183341 0.09491477
140000 0.10372375 0.096508038
141000 0.10154347 0.093415669
142000 0.10274774 0.095387989
143000 0.10231525 0.094686109
144000 0.10100021 0.093016676
145000 0.15090081 0.14721586
146000 0.10394337 0.10013744
147000 0.10183795 0.096448971
148000 0.10226732 0.094515334
149000 0.10007071 0.091985413
150000 0.10368133 0.09561249
151000 0.10294976 0.095264944
152000 0.10342972 0.095103564
153000 0.10343766 0.097881326
154000 0.1044758 0.097562712
155000 0.10153158 0.094073068
156000 0.10141359 0.093529337
157000 0.10178853 0.094165132
158000 0.10220521 0.093196303
159000 0.10267309 0.093865622
160000 0.10306396 0.094526187
161000 0.10268439 0.094282415
162000 0.10329068 0.094741119
163000 0.10067768 0.091141
164000 0.10323556 0.094332959
165000 0.10275778 0.093525236
166000 0.10308683 0.09367139
167000 0.10112402 0.091251034
168000 0.10044378 0.091012914
169000 0.10262784 0.093430244
170000 0.10270273 0.092233331
171000 0.10479423 0.094027762
172000 0.10529257 0.095293273
173000 0.10277378 0.092125536
174000 0.10299713 0.091837124
175000 0.10382822 0.093505563
176000 0.10553876 0.095334962
177000 0.10459182 0.094017033
178000 0.10273522 0.09167974
179000 0.10340759 0.092017229
180000 0.10392572 0.092723684
181000 0.10263252 0.091742547
182000 0.1024287 0.090509258
183000 0.1059733 0.095839328
184000 0.10520285 0.094708926
185000 0.10658024 0.096050599
186000 0.10477897 0.093281941
187000 0.1035373 0.091669911
188000 0.10275965 0.090371951
189000 0.10505131 0.093723713
190000 0.10245898 0.089781299
191000 0.10435333 0.093069561
192000 0.10464515 0.092437143
193000 0.10318902 0.091434841
194000 0.10325533 0.091692883
195000 0.10367982 0.090498889
196000 0.10375953 0.091454757
197000 0.10408578 0.091456456
198000 0.10448685 0.092875941
199000 0.10513952 0.09246844
200000 0.10702214 0.10106313
